metric_id,topic,geography,period,entity,value,unit,derivation,comparability_note,source_publisher,source_url
fw_paris_top3_total,media_attention,Worldwide,2024,Paris Fashion Week,97.7,USD millions,"36.3 + 32.7 + 28.7","Top-three brand MIV only; not total event MIV",Statista / Launchmetrics,https://www.statista.com/statistics/1462315/brands-paris-fashion-week-miv/
fw_milan_top3_total,media_attention,Worldwide,2024,Milan Fashion Week,72.6,USD millions,"25.0 + 24.6 + 23.0","Top-three brand MIV only; not total event MIV",Statista / Launchmetrics,https://www.statista.com/statistics/1462276/brands-milan-fashion-week-miv/
fw_new_york_top3_total,media_attention,Worldwide,2024,New York Fashion Week,46.6,USD millions,"21.3 + 16.8 + 8.5","Top-three brand MIV only; not total event MIV",Statista / Launchmetrics,https://www.statista.com/statistics/1462306/brands-new-york-fashion-week-miv/
fw_london_top3_total,media_attention,Worldwide,2024,London Fashion Week,22.9,USD millions,"14.9 + 4.1 + 3.9","Top-three brand MIV only; not total event MIV",Statista / Launchmetrics,https://www.statista.com/statistics/1462233/brands-london-fashion-week-miv/
fw_paris_leader_share,media_concentration,Worldwide,2024,Paris Fashion Week,37.2,percent,"36.3 / 97.7 × 100","Share within cited top three only",Lunarness derived from Statista / Launchmetrics,https://www.statista.com/statistics/1462315/brands-paris-fashion-week-miv/
fw_milan_leader_share,media_concentration,Worldwide,2024,Milan Fashion Week,34.4,percent,"25.0 / 72.6 × 100","Share within cited top three only",Lunarness derived from Statista / Launchmetrics,https://www.statista.com/statistics/1462276/brands-milan-fashion-week-miv/
fw_new_york_leader_share,media_concentration,Worldwide,2024,New York Fashion Week,45.7,percent,"21.3 / 46.6 × 100","Share within cited top three only",Lunarness derived from Statista / Launchmetrics,https://www.statista.com/statistics/1462306/brands-new-york-fashion-week-miv/
fw_london_leader_share,media_concentration,Worldwide,2024,London Fashion Week,65.1,percent,"14.9 / 22.9 × 100","Share within cited top three only",Lunarness derived from Statista / Launchmetrics,https://www.statista.com/statistics/1462233/brands-london-fashion-week-miv/
fashion_site_visits,digital_demand,Worldwide,2024-01,Shein,184+,monthly visits in millions,"Source states over 184 million","Website visits; not unique users or sales",Statista / Similarweb,https://www.statista.com/statistics/1638634/clothing-website-visits/
eu_online_apparel_all,ecommerce,European Union,2024,Internet users,46,percent,Reported,"Internet use in previous three months",Eurostat,https://ec.europa.eu/eurostat/statistics-explained/index.php?title=E-commerce_statistics_for_individuals
eu_online_apparel_25_34,ecommerce,European Union,2024,Age 25–34,59,percent,Reported,"Internet use in previous three months",Eurostat,https://ec.europa.eu/eurostat/statistics-explained/index.php?title=E-commerce_statistics_for_individuals
eu_online_apparel_65_74,ecommerce,European Union,2024,Age 65–74,22,percent,Reported,"Internet use in previous three months",Eurostat,https://ec.europa.eu/eurostat/statistics-explained/index.php?title=E-commerce_statistics_for_individuals
eu_online_apparel_age_gap,ecommerce,European Union,2024,Age 25–34 vs 65–74,37,percentage points,"59 - 22","Difference between two age-group shares",Lunarness derived from Eurostat,https://ec.europa.eu/eurostat/statistics-explained/index.php?title=E-commerce_statistics_for_individuals
eu_textile_consumption,circularity,EU27,2022,Per resident,19,kg per capita,Reported,"Apparent consumption: production + imports - exports",European Environment Agency,https://www.eea.europa.eu/en/circularity/sectoral-modules/textiles/consumption-of-clothing-footwear-and-household-textiles-per-person
eu_clothing_consumption,circularity,EU27,2022,Clothing,8,kg per capita,Reported,"Component of total textile consumption",European Environment Agency,https://www.eea.europa.eu/en/circularity/sectoral-modules/textiles/consumption-of-clothing-footwear-and-household-textiles-per-person
eu_footwear_consumption,circularity,EU27,2022,Footwear,4.4,kg per capita,Reported,"Component of total textile consumption",European Environment Agency,https://www.eea.europa.eu/en/circularity/sectoral-modules/textiles/consumption-of-clothing-footwear-and-household-textiles-per-person
eu_household_textile_consumption,circularity,EU27,2022,Household textiles,7.6,kg per capita,Reported,"Component of total textile consumption",European Environment Agency,https://www.eea.europa.eu/en/circularity/sectoral-modules/textiles/consumption-of-clothing-footwear-and-household-textiles-per-person
eu_textile_waste,circularity,European Union,2022,Per resident,16,kg per capita,Reported,"All textile waste",European Environment Agency,https://www.eea.europa.eu/en/newsroom/news/consumption-of-clothing-footwear-other-textiles-in-the-eu-reaches-new-record-high
eu_household_waste_not_separate,circularity,European Union,2022,Household textile waste,85,percent,Reported,"Not separately collected",European Environment Agency,https://www.eea.europa.eu/en/newsroom/news/consumption-of-clothing-footwear-other-textiles-in-the-eu-reaches-new-record-high
eu_textile_supply_chain_ghg,climate,EU27,2022,Purchased textiles,355,kg CO2e per capita,Reported,"Supply-chain estimate",European Environment Agency,https://www.eea.europa.eu/en/circularity/sectoral-modules/textiles
global_textile_ghg_low,climate,Worldwide,2025,Textile industry,2,percent of global GHG emissions,Reported lower bound,"Range is 2–8%; do not convert to a single-point estimate",UN Environment Programme,https://www.unep.org/annualreport/2025/stories/minimizing-fashions-environmental-footprint
global_textile_ghg_high,climate,Worldwide,2025,Textile industry,8,percent of global GHG emissions,Reported upper bound,"Range is 2–8%; do not convert to a single-point estimate",UN Environment Programme,https://www.unep.org/annualreport/2025/stories/minimizing-fashions-environmental-footprint
